sector,jrr_0,w_0,ipp_0,jrr_1,w_1,ipp_1,w_bar,jrr_bar,d_jrr,d_w,within,between,d_ipp
Accommodation and food,30.23033825926368,0.08996811080987861,3.5991922698217818,25.83077740574287,0.10502618744196116,10.726455670706414,0.09749714912591989,28.030557832503277,-4.399560853520807,0.015058076632082543,-0.4289446406242775,0.42208628788185587,7.127263400884633
Administrative services,43.144825261806965,0.0750782237614228,28.95054568871285,30.580259951094607,0.08748536768313199,43.76507550756529,0.0812817957222774,36.86254260645079,-12.564565310712357,0.01240714392170919,-1.0212704309245346,0.45735887143837195,14.814529818852442
Agriculture,35.96248430238655,0.0016056734254871925,0.48201860881830316,27.461362484164482,0.001252522729490338,0.46026870569413386,0.0014290980774887651,31.711923393275516,-8.501121818222067,-0.00035315069599685454,-0.012148936846918952,-0.011199087817734182,-0.0217499031241693
Arts and recreation,28.205716197743165,0.015602016516509058,33.065911301851116,25.37494826362804,0.017767278491590047,31.29280865188298,0.016684647504049552,26.7903322306856,-2.8307679341151264,0.00216526197508099,-0.04723036514647745,0.0580080876788902,-1.7731026499681377
Construction,37.59321134669096,0.05650667957648092,7.276027238967163,29.410053475066622,0.05125784589287134,8.274524817423076,0.05388226273467613,33.50163241087879,-8.183157871624335,-0.00524883368360958,-0.44092706243819557,-0.17584449665412702,0.9984975784559129
Educational services,16.40310647755583,0.023470241351077586,16.248929278963402,15.047862156667389,0.028801988218066496,30.06857163710924,0.02613611478457204,15.72548431711161,-1.355244320888442,0.0053317468669889095,-0.0354208211318797,0.08384430173964305,13.819642358145838
Finance and insurance,34.28428743285909,0.05539784528608191,22.618124246455178,25.401546513440643,0.05071055091424661,43.19343702142071,0.05305419810016426,29.842916973149865,-8.882740919418445,-0.0046872943718353,-0.47126669641126145,-0.1398825367673935,20.575312774965536
Health care,20.94676945319853,0.13150695538649634,8.988518564365663,19.110846306628517,0.15829761579190832,14.09432039092647,0.14490228558920232,20.028807879913522,-1.835923146570014,0.026790660405411976,-0.2660294601041151,0.5365849902360026,5.105801826560807
Information,35.2565990299827,0.030805571338656378,49.09117752476147,27.48312122167696,0.027122555068260237,56.89574142857564,0.028964063203458307,31.36986012582983,-7.773477808305742,-0.0036830162703961403,-0.22515150255044808,-0.11553570524348238,7.80456390381417
Management of companies,35.391386767386216,0.027423320019019624,45.53344437873166,26.57050082454119,0.027270973861644527,60.00413245002294,0.027347146940332075,30.980943795963704,-8.820885942845024,-0.0001523461573750967,-0.2412260640228925,-0.004719827739168913,14.470688071291278
Manufacturing,20.55294010609173,0.13584750770119386,51.24313888909201,16.922035514411675,0.0927601771977441,57.248724644206234,0.11430384244946898,18.7374878102517,-3.6309045916800535,-0.04308733050344976,-0.4150263463964503,-0.8073483300846761,6.005585755114225
Mining,34.54755166582413,0.004367332497998595,5.442883737023305,30.723123410187902,0.004878341656972768,5.273546191846954,0.004622837077485682,32.63533753800601,-3.824428255636228,0.000511009158974173,-0.017679708740339046,0.01667695638813471,-0.1693375451763508
Other services,26.117965764101527,0.04652154059464784,14.882881542148054,22.67925233123147,0.042701508493166535,36.212062904905096,0.04461152454390718,24.398609047666497,-3.438713432870056,-0.0038200321014813035,-0.15340624870994585,-0.0932034697935782,21.32918136275704
Professional services,33.53601021877918,0.061284362018284584,57.15684159838731,26.64680643271232,0.07095474371806061,68.3557615853625,0.0661195528681726,30.091408325745753,-6.889203786066862,0.009670381699776028,-0.4555110739524627,0.29099540439377974,11.198919986975191
Real estate,34.17656915196293,0.017515912973007114,0.3022299984547084,28.193818378643304,0.016780819550743873,1.2001333719255785,0.01714836626187549,31.18519376530312,-5.982750773319626,-0.0007350934222632409,-0.10259440151440379,-0.02292403080887895,0.8979033734708701
Retail trade,26.351929774626743,0.13277142192570493,10.739563525060015,19.13972940954967,0.12348045114525462,23.38791412380199,0.12812593653547977,22.745829592088207,-7.212200365077074,-0.009290970780450311,-0.9240699262570291,-0.21133083811719355,12.648350598741976
Transportation,29.1276207561741,0.036517094090383895,6.34625110174222,23.79526893496721,0.040551302262179796,8.5044822416408,0.03853419817628184,26.461444845570654,-5.332351821206888,0.004034208171795901,-0.20547790182404363,0.10675097703352766,2.1582311398985796
Utilities,20.771511256211305,0.0059277650317082625,5.222560836512114,15.478744453656502,0.005093434240610874,6.375301069980235,0.005510599636159568,18.125127854933904,-5.292766802554803,-0.0008343307910973884,-0.02916631881643594,-0.015122352261948316,1.152740233468121
Wholesale trade,28.465233142968938,0.051882425695960493,21.10115815454061,21.648807278359566,0.04780633564209576,34.53906159049932,0.049844380669028125,25.057020210664252,-6.816425864609371,-0.0040760900538647366,-0.3397605255977987,-0.10213467086017625,13.437903435958713
