year,sector,naics_prefix,ipp_share
1997,"Agriculture, forestry, fishing, hunting",11,0.7434944237918216
1998,"Agriculture, forestry, fishing, hunting",11,0.7380073800738007
1999,"Agriculture, forestry, fishing, hunting",11,0.43478260869565216
2000,"Agriculture, forestry, fishing, hunting",11,0.4
2001,"Agriculture, forestry, fishing, hunting",11,0.3816793893129771
2002,"Agriculture, forestry, fishing, hunting",11,0.34602076124567477
2003,"Agriculture, forestry, fishing, hunting",11,0.32573289902280134
2004,"Agriculture, forestry, fishing, hunting",11,0.2881844380403458
2005,"Agriculture, forestry, fishing, hunting",11,0.5361930294906168
2006,"Agriculture, forestry, fishing, hunting",11,0.558659217877095
2007,"Agriculture, forestry, fishing, hunting",11,0.5494505494505495
2008,"Agriculture, forestry, fishing, hunting",11,0.46511627906976744
2009,"Agriculture, forestry, fishing, hunting",11,0.23866348448687352
2010,"Agriculture, forestry, fishing, hunting",11,0.22831050228310507
2011,"Agriculture, forestry, fishing, hunting",11,0.20161290322580644
2012,"Agriculture, forestry, fishing, hunting",11,0.16286644951140067
2013,"Agriculture, forestry, fishing, hunting",11,0.1434720229555237
2014,"Agriculture, forestry, fishing, hunting",11,0.25608194622279135
2015,"Agriculture, forestry, fishing, hunting",11,0.34782608695652173
2016,"Agriculture, forestry, fishing, hunting",11,0.6012024048096193
2017,"Agriculture, forestry, fishing, hunting",11,0.5725190839694656
2018,"Agriculture, forestry, fishing, hunting",11,0.591715976331361
2019,"Agriculture, forestry, fishing, hunting",11,0.5474452554744526
2020,"Agriculture, forestry, fishing, hunting",11,0.5535055350553505
2021,"Agriculture, forestry, fishing, hunting",11,0.4784688995215311
2022,"Agriculture, forestry, fishing, hunting",11,0.41899441340782123
2023,"Agriculture, forestry, fishing, hunting",11,0.5517241379310345
1997,Mining,21,6.341463414634147
1998,Mining,21,5.755395683453237
1999,Mining,21,15.424164524421593
2000,Mining,21,8.454106280193237
2001,Mining,21,5.847953216374269
2002,Mining,21,4.358353510895884
2003,Mining,21,3.954802259887006
2004,Mining,21,2.9921259842519685
2005,Mining,21,2.027027027027027
2006,Mining,21,2.2399999999999998
2007,Mining,21,2.4763292061179896
2008,Mining,21,2.1712158808933
2009,Mining,21,2.7264731750219875
2010,Mining,21,2.350265352539803
2011,Mining,21,2.2323983972524326
2012,Mining,21,2.0505484024797327
2013,Mining,21,2.1665864227250844
2014,Mining,21,1.9011406844106464
2015,Mining,21,2.642159678345778
2016,Mining,21,4.482390608324439
2017,Mining,21,4.055087987758226
2018,Mining,21,4.45859872611465
2019,Mining,21,5.163727959697733
2020,Mining,21,8.16326530612245
2021,Mining,21,9.463414634146341
2022,Mining,21,8.255563531945441
2023,Mining,21,7.2570725707257075
1997,Utilities,22,8.333333333333332
1998,Utilities,22,6.382978723404255
1999,Utilities,22,6.827309236947792
2000,Utilities,22,6.0606060606060606
2001,Utilities,22,5.236270753512132
2002,Utilities,22,4.889589905362776
2003,Utilities,22,4.068857589984351
2004,Utilities,22,4.166666666666666
2005,Utilities,22,4.278922345483361
2006,Utilities,22,3.8978494623655906
2007,Utilities,22,3.3057851239669422
2008,Utilities,22,3.954802259887006
2009,Utilities,22,4.722979109900091
2010,Utilities,22,4.4598612487611495
2011,Utilities,22,4.41988950276243
2012,Utilities,22,4.313725490196078
2013,Utilities,22,4.653061224489797
2014,Utilities,22,4.782298358315489
2015,Utilities,22,4.92546986390149
2016,Utilities,22,5.374396135265701
2017,Utilities,22,6.951871657754011
2018,Utilities,22,7.014388489208632
2019,Utilities,22,6.821873308067136
2020,Utilities,22,8.006198347107437
2021,Utilities,22,8.185734801340356
2022,Utilities,22,7.118055555555555
2023,Utilities,22,6.294964028776978
1997,Construction,23,13.357400722021662
1998,Construction,23,11.214953271028037
1999,Construction,23,11.325966850828726
2000,Construction,23,7.228915662650602
2001,Construction,23,4.778156996587031
2002,Construction,23,4.430379746835443
2003,Construction,23,4.545454545454546
2004,Construction,23,7.142857142857144
2005,Construction,23,6.172839506172839
2006,Construction,23,6.206896551724139
2007,Construction,23,3.632478632478633
2008,Construction,23,4.042553191489361
2009,Construction,23,7.142857142857142
2010,Construction,23,5.714285714285714
2011,Construction,23,6.441717791411043
2012,Construction,23,7.650273224043715
2013,Construction,23,7.39856801909308
2014,Construction,23,6.912442396313365
2015,Construction,23,7.276507276507277
2016,Construction,23,7.09812108559499
2017,Construction,23,7.446808510638298
2018,Construction,23,8.588957055214724
2019,Construction,23,8.072487644151566
2020,Construction,23,9.874326750448832
2021,Construction,23,10.57513914656772
2022,Construction,23,9.748892171344165
2023,Construction,23,8.027522935779816
1997,Manufacturing,"31,32,33",45.13578549329667
1998,Manufacturing,"31,32,33",45.91401378404989
1999,Manufacturing,"31,32,33",48.14211212516297
2000,Manufacturing,"31,32,33",49.42037827943868
2001,Manufacturing,"31,32,33",51.28913443830571
2002,Manufacturing,"31,32,33",52.164948453608254
2003,Manufacturing,"31,32,33",54.28265524625267
2004,Manufacturing,"31,32,33",55.013736263736256
2005,Manufacturing,"31,32,33",54.331683168316836
2006,Manufacturing,"31,32,33",54.923476754259305
2007,Manufacturing,"31,32,33",53.05660377358491
2008,Manufacturing,"31,32,33",53.76704137766085
2009,Manufacturing,"31,32,33",58.27277808831749
2010,Manufacturing,"31,32,33",58.136986301369866
2011,Manufacturing,"31,32,33",55.26510480887793
2012,Manufacturing,"31,32,33",53.46966911764706
2013,Manufacturing,"31,32,33",53.13503102931736
2014,Manufacturing,"31,32,33",53.86044591246903
2015,Manufacturing,"31,32,33",53.58994814519345
2016,Manufacturing,"31,32,33",55.698202646652184
2017,Manufacturing,"31,32,33",55.5640828856485
2018,Manufacturing,"31,32,33",55.297715416441804
2019,Manufacturing,"31,32,33",57.420586703697275
2020,Manufacturing,"31,32,33",60.3418207185211
2021,Manufacturing,"31,32,33",61.10929319371727
2022,Manufacturing,"31,32,33",61.18850029638412
2023,Manufacturing,"31,32,33",62.53034413822648
1997,Wholesale trade,42,10.218978102189782
1998,Wholesale trade,42,11.645101663585951
1999,Wholesale trade,42,16.171003717472118
2000,Wholesale trade,42,19.264448336252187
2001,Wholesale trade,42,22.80334728033473
2002,Wholesale trade,42,25.877192982456144
2003,Wholesale trade,42,24.568138195777355
2004,Wholesale trade,42,24.61005199306759
2005,Wholesale trade,42,25.067024128686327
2006,Wholesale trade,42,24.14772727272727
2007,Wholesale trade,42,27.73972602739726
2008,Wholesale trade,42,28.64
2009,Wholesale trade,42,31.97556008146639
2010,Wholesale trade,42,30.090090090090087
2011,Wholesale trade,42,29.940119760479046
2012,Wholesale trade,42,29.985855728429982
2013,Wholesale trade,42,30.875576036866363
2014,Wholesale trade,42,30.65693430656934
2015,Wholesale trade,42,29.326923076923073
2016,Wholesale trade,42,30.88071348940914
2017,Wholesale trade,42,33.37004405286344
2018,Wholesale trade,42,34.91062039957939
2019,Wholesale trade,42,37.05636743215032
2020,Wholesale trade,42,40.29680365296804
2021,Wholesale trade,42,39.635995955510616
2022,Wholesale trade,42,37.73584905660377
2023,Wholesale trade,42,35.18385003604903
1997,Retail trade,"44,45",6.724511930585683
1998,Retail trade,"44,45",7.1813285457809695
1999,Retail trade,"44,45",8.674304418985269
2000,Retail trade,"44,45",10.05586592178771
2001,Retail trade,"44,45",10.402219140083218
2002,Retail trade,"44,45",11.396011396011396
2003,Retail trade,"44,45",12.262958280657395
2004,Retail trade,"44,45",12.557603686635947
2005,Retail trade,"44,45",12.414578587699317
2006,Retail trade,"44,45",12.719751809720787
2007,Retail trade,"44,45",13.746065057712487
2008,Retail trade,"44,45",14.516129032258066
2009,Retail trade,"44,45",17.829457364341085
2010,Retail trade,"44,45",17.485549132947973
2011,Retail trade,"44,45",18.421052631578945
2012,Retail trade,"44,45",18.83040935672515
2013,Retail trade,"44,45",19.124423963133644
2014,Retail trade,"44,45",19.2
2015,Retail trade,"44,45",19.77507029053421
2016,Retail trade,"44,45",19.895287958115183
2017,Retail trade,"44,45",21.784565916398712
2018,Retail trade,"44,45",23.599999999999998
2019,Retail trade,"44,45",25.56053811659193
2020,Retail trade,"44,45",27.56977535738598
2021,Retail trade,"44,45",27.900059488399766
2022,Retail trade,"44,45",27.050882658359292
2023,Retail trade,"44,45",25.806451612903224
1997,Transportation and warehousing,"48,49",8.915304606240714
1998,Transportation and warehousing,"48,49",7.113543091655268
1999,Transportation and warehousing,"48,49",7.648725212464591
2000,Transportation and warehousing,"48,49",8.209959623149395
2001,Transportation and warehousing,"48,49",10.694444444444445
2002,Transportation and warehousing,"48,49",4.9523809523809526
2003,Transportation and warehousing,"48,49",4.791666666666666
2004,Transportation and warehousing,"48,49",4.553734061930784
2005,Transportation and warehousing,"48,49",4.368174726989079
2006,Transportation and warehousing,"48,49",4.641909814323607
2007,Transportation and warehousing,"48,49",3.9189189189189193
2008,Transportation and warehousing,"48,49",4.315659679408138
2009,Transportation and warehousing,"48,49",5.175292153589315
2010,Transportation and warehousing,"48,49",4.580152671755725
