st,sector,year,rd,itc,jctc,pta,cit,export_share,entry_rate,jrr,exit_rate,denom,emp
1,23,1990,0.0,0.0,0.0,0.0,0.00352,0.0,15.279,49.84827411809331,12.956,94908.0,101280.0
1,23,1991,0.0,0.0,0.0,0.0,0.00352,0.0,13.262,45.27271611755322,13.982,97794.0,93356.0
1,23,1992,0.0,0.0,0.0,0.0,0.00352,0.0,14.917,51.62679981421273,13.265,86120.0,80027.0
1,23,1993,0.0,0.0,0.0,0.0,0.00352,0.0,17.319,47.022087745839634,13.152,82625.0,85418.0
1,23,1994,0.0,0.0,0.0,0.0,0.00352,0.0,17.975,46.418867015970925,11.665,87221.0,88998.0
1,23,1995,0.0,0.0,0.0,0.0,0.00352,0.0,16.909,41.084139043611906,11.565,91741.0,94541.0
1,23,1996,0.0,0.0,0.0,0.0,0.00354,0.0,16.299,41.46479345072339,12.134,95522.0,97220.0
1,23,1997,0.0,0.0,0.0,0.0,0.00357,0.0,14.815,41.03804158149275,12.725,100285.0,103165.0
1,23,1998,0.0,0.0,0.0,0.0,0.0036,0.0,14.109,41.96196294836421,13.879,101480.0,100196.0
1,23,1999,0.0,0.0,0.0,0.0,0.00358,0.0,13.325,40.82827092649289,12.474,103541.0,106327.0
1,23,2000,0.0,0.0,0.0,0.0,0.00355,0.0,12.023,41.26528275403539,12.725,108292.0,110090.0
1,23,2001,0.0,0.0,0.0,0.0,0.00461,0.0,10.552,38.83170523831377,13.573,106771.0,105114.0
1,23,2002,0.0,0.0,0.0,0.0,0.00461,0.0,12.121,41.479988937616056,12.754,101244.0,97081.0
1,23,2003,0.0,0.0,0.0,0.0,0.00459,0.0,12.723,39.531438379957905,12.772,97874.0,98795.0
1,23,2004,0.0,0.0,0.0,0.0,0.00457,0.0,13.816,41.56321749620579,10.634,102788.0,106250.0
1,23,2005,0.0,0.0,0.0,0.0,0.00457,0.0,13.618,40.654514544767665,10.727,105880.0,105834.0
1,23,2006,0.0,0.0,0.0,0.0,0.00457,0.0,14.705,38.6315137966393,10.695,108251.0,111018.0
1,23,2007,0.0,0.0,0.0,0.0,0.00457,0.0,14.056,37.81892532630633,11.468,113467.0,115324.0
1,23,2008,0.0,0.0,0.0,0.0,0.00414,0.0,10.85,37.87661281201333,14.6,114939.0,114472.0
1,23,2009,0.0,0.0,0.0,0.0,0.00414,0.0,8.438,38.708763178777915,19.646,105852.0,97280.0
1,23,2010,0.0,0.0,0.0,0.0,0.00414,0.0,9.487,39.53706095041322,17.901,92928.0,88955.0
1,23,2011,0.0,0.0,0.0,0.0,0.00414,0.0,10.464,37.70879440885265,16.077,85850.0,82630.0
1,23,2012,0.0,0.0,0.0,0.0,0.00414,0.0,10.782,37.80823594199351,12.979,81715.0,80874.0
1,23,2013,0.0,0.0,0.0,0.0,0.00414,0.0,10.198,35.89953793411835,12.07,80508.0,80146.0
1,23,2014,0.0,0.0,0.0,0.0,0.00414,0.0,9.542,32.90089591302598,10.424,79472.0,78644.0
1,23,2015,0.0,0.0,0.0,0.0,0.00414,0.0,9.667,32.27111088851047,9.637,79864.0,81203.0
1,31-33,1990,0.0,0.0,0.0,0.0,0.009834004706494183,1.0,11.58,20.177988827760842,8.781,354629.0,355749.0
1,31-33,1991,0.0,0.0,0.0,0.0,0.009834004706494183,1.0,9.13,20.856575183698638,9.994,350302.0,343959.0
1,31-33,1992,0.0,0.0,0.0,0.006320847345771306,0.010091446443476565,1.0,8.903,19.34945306339381,9.242,346201.0,347933.0
1,31-33,1993,0.0,0.0,0.0,0.006320847345771306,0.010091446443476565,1.0,8.621,17.766986681766575,8.142,349671.0,351977.0
1,31-33,1994,0.0,0.0,0.0,0.006320847345771306,0.010091446443476565,1.0,9.968,19.73808317636423,8.218,357289.0,357587.0
1,31-33,1995,0.0,0.010091446443476565,0.0,0.006320847345771306,0.010091446443476565,1.0,9.194,17.392716551827526,8.086,360214.0,364243.0
1,31-33,1996,0.0,0.010106919607358772,0.0,0.0060653655697848275,0.010106919607358772,1.0,8.308,21.52370938560015,8.717,357601.0,352364.0
1,31-33,1997,0.0,0.010006271120067608,0.0,0.005808788090749529,0.010006271120067608,1.0,8.519,21.242172221014993,9.28,354347.0,352775.0
1,31-33,1998,0.0,0.010022103485665996,0.0,0.005553437904179939,0.010022103485665996,1.0,8.798,20.278170515496306,7.713,356472.0,358573.0
