k,beta,se
-6,0.4246406588021969,0.2842913173230176
-5,0.33528069710755576,0.3044900202200398
-4,0.1006879699475377,0.39312121192667576
-3,0.14452007109496628,0.30130510772737346
-2,0.42774794244375014,0.238365435213376
0,0.04556132640035824,0.2711566351001535
1,0.37819390882586057,0.40314831940469853
2,0.663673128141646,0.28952617653543516
3,0.7156362346015915,0.32328017842034834
4,0.2076705072675658,0.23600059154978248
5,0.2273492777349618,0.3392600568569894
6,0.5873915415699342,0.3175622918352904
7,0.10420942595742973,0.3379485031500001
8,-0.2000694520904708,0.3830837555877318
9,0.6686623855910314,0.3377308183809143
10,0.177325797529408,0.34817635857870965
11,-0.0049593944261582795,0.284900239601264
