k,beta,se
-6,0.42910369682630173,0.2602352942483656
-5,0.17663542229515156,0.2963078506390416
-4,0.14521249610098888,0.310424625655989
-3,-0.026843331871457914,0.28157873522485233
-2,0.007243024444128326,0.2690905862264412
0,0.010179550023080356,0.2251531505189089
1,0.3673721131063582,0.3402464954518378
2,0.2002065237621297,0.30785435978235964
3,-0.038996236653012314,0.21675070805087804
4,0.23030257782474217,0.3343518602460087
5,-0.00561471023614686,0.252016765385187
6,0.19063292670786391,0.3305307956138683
7,0.5024689318515247,0.2669295871842844
8,0.04359414072026778,0.32605399734962415
9,0.16392578553516518,0.29924203965713053
10,0.21669562242048643,0.31934206309647795
11,0.23340941871514118,0.27062522404901457
