k,beta,se
-6,0.6733616921923942,0.9630391405220335
-5,2.055898632543629,1.1689275628560216
-4,-0.016467686574713106,1.0145934465932147
-3,0.44692337303302576,0.7704710996365866
-2,0.5442452460623634,1.5862279570640223
0,-1.2625417221253459,1.0362257114287623
1,-0.2724775948247609,1.0439976794509283
2,1.036934696083767,1.3965198074357266
3,0.5314520787271838,0.9828258403173966
4,-0.11914577305141322,0.8235215812026057
5,0.8156380160381118,1.1356129572846478
6,0.3866389417717883,1.4725784815960536
7,0.7634873810724326,1.118049397495896
8,0.28249651206586257,0.8749614033475954
9,1.9951457851010919,1.5001904259503316
10,0.4278412463822572,1.1233408499065398
11,-0.03663310943568982,1.1498425877435332
