label,outcome,n,beta,se,p,lo,hi,mean,spec
entry_rate / all 19 sectors,entry_rate,1215,0.21204954962089897,0.14267676752566444,0.13713713713713713,-0.06096454904934248,0.5040839258636629,11.541452500747598,A aggregate state-year
exit_rate / all 19 sectors,exit_rate,1215,-0.0204166578493388,0.16955756854988813,0.9029029029029029,-0.40065561484494105,0.33815670153104493,10.301623771589885,A aggregate state-year
jrr / all 19 sectors,jrr,1242,0.13576262679881265,0.293584889224926,0.6296296296296297,-0.44012127104905097,0.7299008103432858,29.471613540730917,A aggregate state-year
entry_rate / PDIT 16 sectors,entry_rate,1215,0.2065732616871823,0.1419836922746681,0.15915915915915915,-0.0744333651458354,0.49117782398291754,11.550678501324796,A aggregate state-year
exit_rate / PDIT 16 sectors,exit_rate,1215,-0.030446604195923894,0.1693037310886759,0.8738738738738738,-0.38534881888635947,0.35298519870415856,10.298144243947212,A aggregate state-year
jrr / PDIT 16 sectors,jrr,1242,0.10614393589093789,0.2912442772748187,0.7227227227227228,-0.48390657421526434,0.7407621839188998,29.5184207356462,A aggregate state-year
entry_rate,entry_rate,19439,0.2977298720276638,0.14974924372871357,0.05205205205205205,0.010435019085085151,0.6168673193589335,12.055156234559822,B aggregate panel
exit_rate,exit_rate,19440,0.06212429904730454,0.17493025306358712,0.6986986986986987,-0.30358862518833624,0.41967160184425256,10.595714642548003,B aggregate panel
jrr,jrr,19872,-0.024497637077581465,0.2749577267880842,0.9419419419419419,-0.5822690588101954,0.5340860095638857,31.51849468417579,B aggregate panel
entry_rate,entry_rate,19439,0.25308887341367037,0.23262566787672997,0.28128128128128127,-0.20866590967658355,0.7510634965023408,12.055156234559822,C sector gradient
exit_rate,exit_rate,19440,0.20213715645135702,0.2391385173167169,0.3913913913913914,-0.2660558249931958,0.6889747975822368,10.595714642548003,C sector gradient
jrr,jrr,19872,0.25161118426531087,0.9411959210187424,0.7717717717717718,-1.8223455667867257,2.055715243705114,31.51849468417579,C sector gradient
