year,st,sector,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp,estabs_lag,den,entry_rate,exit_rate,jrr,birth_emp_rate,death_emp_rate,on,pdit_exp,bea_exp,equip_exp,adopt,k,post,post_pdit,post_bea,post_equip
1990,1,23,6829.0,6879.0,101280.0,94908.0,1039.0,15.279,881.0,12.956,30019.0,5985.0,24034.0,6.306,31.63,17291.0,4881.0,12410.0,5.143,18.219,12728.0,13.411,36.438,695.0,695.0,3982.0,6710.0,6794.5,15.291780116270512,12.966369857973362,49.84827411809331,6.306106966746744,5.142875205462132,0.0,0.010122797594230177,0.0265363833762561,0.9619677993487696,,-999.0,0.0,0.0,0.0,0.0
1991,1,23,6878.0,6927.0,93356.0,97794.0,922.0,13.262,972.0,13.982,17809.0,4896.0,12913.0,5.006,18.211,26465.0,7675.0,18790.0,7.848,27.062,-8656.0,-8.851,36.421,679.0,680.0,5217.0,6879.0,6903.0,13.356511661596407,14.08083441981747,45.27271611755322,5.006442113013068,7.848129742110968,0.0,0.010122797594230177,0.0265363833762561,0.9619677993487696,,-999.0,0.0,0.0,0.0,0.0
1992,1,23,6901.0,6955.0,80027.0,86120.0,1029.0,14.917,915.0,13.265,16227.0,4691.0,11536.0,5.447,18.842,28234.0,5366.0,22868.0,6.231,32.785,-12007.0,-13.942,37.685,675.0,676.0,4153.0,6927.0,6941.0,14.824953176775683,13.182538539115402,51.62679981421273,5.4470506270320485,6.230840687412912,0.0,0.010122797594230177,0.0265363833762561,0.9619677993487696,,-999.0,0.0,0.0,0.0,0.0
1993,1,23,7142.0,7203.0,85418.0,82625.0,1222.0,17.319,928.0,13.152,22303.0,6390.0,15913.0,7.734,26.993,16549.0,4772.0,11777.0,5.775,20.029,5754.0,6.964,40.058,721.0,721.0,3863.0,6955.0,7079.0,17.26232518717333,13.109196214154542,47.022087745839634,7.733736762481088,5.775491679273827,0.0,0.010122797594230177,0.0265363833762561,0.9619677993487696,,-999.0,0.0,0.0,0.0,0.0
1994,1,23,7607.0,7667.0,88998.0,87221.0,1336.0,17.975,867.0,11.665,21904.0,5951.0,15953.0,6.823,25.113,18583.0,4666.0,13917.0,5.35,21.306,3321.0,3.808,42.611,659.0,659.0,3840.0,7203.0,7435.0,17.96906523201076,11.661062542030935,46.418867015970925,6.822898155260774,5.349629103082973,0.0,0.010122797594230177,0.0265363833762561,0.9619677993487696,,-999.0,0.0,0.0,0.0,0.0
1995,1,23,8034.0,8088.0,94541.0,91741.0,1332.0,16.909,911.0,11.565,21548.0,7106.0,14442.0,7.746,23.488,16143.0,4945.0,11198.0,5.39,17.596,5405.0,5.892,35.193,701.0,707.0,3926.0,7667.0,7877.5,16.908917803871788,11.564582672167566,41.084139043611906,7.745718926107194,5.390174513031251,0.0,0.010122797594230177,0.0265363833762561,0.9619677993487696,,-999.0,0.0,0.0,0.0,0.0
1996,1,23,8372.0,8430.0,97220.0,95522.0,1346.0,16.299,1002.0,12.134,21482.0,6390.0,15092.0,6.69,22.489,18126.0,5333.0,12793.0,5.583,18.976,3356.0,3.513,37.952,776.0,776.0,4281.0,8088.0,8259.0,16.297372563264318,12.13221939702143,41.46479345072339,6.689558426331107,5.583007055966164,0.0,0.010122797594230177,0.0265363833762561,0.9619677993487696,,-999.0,0.0,0.0,0.0,0.0
1997,1,23,8615.0,8655.0,103165.0,100285.0,1269.0,14.815,1090.0,12.725,23538.0,6935.0,16603.0,6.915,23.471,17617.0,5022.0,12595.0,5.008,17.567,5921.0,5.904,35.134,875.0,876.0,3535.0,8430.0,8542.5,14.85513608428446,12.759730757974832,41.03804158149275,6.9152914194545545,5.007727975270479,0.0,0.010122797594230177,0.0265363833762561,0.9619677993487696,,-999.0,0.0,0.0,0.0,0.0
1998,1,23,8633.0,8678.0,100196.0,101480.0,1223.0,14.109,1203.0,13.879,20002.0,6289.0,13713.0,6.197,19.71,22581.0,7132.0,15449.0,7.028,22.252,-2579.0,-2.541,39.421,938.0,938.0,5523.0,8655.0,8666.5,14.111809842496973,13.881036173772573,41.96196294836421,6.197280252266457,7.027985810011825,0.0,0.010122797594230177,0.0265363833762561,0.9619677993487696,,-999.0,0.0,0.0,0.0,0.0
1999,1,23,8689.0,8735.0,106327.0,103541.0,1159.0,13.325,1085.0,12.474,23847.0,5614.0,18233.0,5.422,23.031,18427.0,6090.0,12337.0,5.882,17.797,5420.0,5.235,35.594,858.0,858.0,4550.0,8678.0,8706.5,13.311893412967324,12.461953712743352,40.82827092649289,5.42200674129089,5.881728011126027,0.0,0.010122797594230177,0.0265363833762561,0.9619677993487696,,-999.0,0.0,0.0,0.0,0.0
