sector,bea_label,ipp,pfa,equip,bea_intensity,equip_intensity,bea_norm,equip_norm
11,"Agriculture, forestry, fishing, and hunting",0.1,67.60000000000001,58.89999999999999,0.0014792899408284023,0.8713017751479287,0.002708595344617859,1.0
21,Mining,1.8000000000000003,149.6,50.699999999999996,0.01203208556149733,0.338903743315508,0.022030874434030824,0.38896253052849483
22,Utilities,6.7,224.20000000000002,128.5,0.029884032114183764,0.5731489741302408,0.054717975177712784,0.6578076511240117
23,Construction,0.6000000000000001,41.400000000000006,34.7,0.014492753623188406,0.8381642512077294,0.026536383376256124,0.9619677993487695
31-33,Manufacturing,307.7,751.3,362.30000000000007,0.40955676826833487,0.48223079994675905,0.7499027237805226,0.553460137120559
42,Wholesale trade,8.8,148.9,117.0,0.05910006715916723,0.7857622565480188,0.10821284073917205,0.9018256119294752
44-45,Retail trade,6.8,148.60000000000002,71.1,0.04576043068640645,0.47846567967698506,0.08378782691883829,0.549138878542686
48-49,Transportation and warehousing,1.5,137.8,109.1,0.01088534107402032,0.7917271407837444,0.019931173290584244,0.9086715571643657
51,Information,132.6,361.9,159.1,0.3663995578889196,0.4396242055816524,0.6708814204551472,0.5045602087830171
52,Finance and insurance,40.900000000000006,296.20000000000005,179.10000000000002,0.13808237677245105,0.6046590141796083,0.25283027524014995,0.693971975527021
53,Real estate and rental and leasing,3.3000000000000003,1437.3,115.50000000000001,0.0022959716134418706,0.08035900647046547,0.004203948023915342,0.09222867296100963
54,"Professional, scientific, and technical services",57.4,105.1,36.7,0.5461465271170314,0.3491912464319696,1.0,0.4007695799456902
55,Management of companies and enterprises 5,10.8,80.0,31.5,0.135,0.39375,0.2471864111498258,0.4519100169779288
56,Administrative and waste management services,7.000000000000001,52.5,27.4,0.13333333333333336,0.5219047619047619,0.2441347270615564,0.5989942598431565
61,Educational services,2.8,28.1,6.799999999999999,0.09964412811387899,0.24199288256227752,0.18244944015276449,0.277737162329541
62,Health and social assistance,9.9,162.2,91.4,0.06103575832305796,0.5635018495684341,0.11175711149396153,0.6467355692839755
71,"Arts, entertainment, and recreation",16.7,32.400000000000006,7.1000000000000005,0.515432098765432,0.21913580246913578,0.9437615606314791,0.25150390911568055
72,Accommodation and food services,1.2000000000000002,79.3,45.4,0.01513240857503153,0.5725094577553594,0.02770759827936958,0.6570736730774586
81,"Other services, except government",4.7,58.4,24.0,0.08047945205479452,0.4109589041095891,0.14735871796095654,0.47166081354513123
