lo,hi,complete,n,beta,p,lo_ci,hi_ci
-5,0,14,4591,0.11889145021899168,0.2832832832832833,-0.08739258858222841,0.3405069327241345
-5,1,14,4911,0.219808204600376,0.062062062062062065,-0.009861265813597336,0.45311784032907454
-5,2,14,5231,0.26565827898143257,0.04104104104104104,2.203161885205862e-06,0.4978089109931929
-5,3,14,5551,0.30127839195522005,0.026026026026026026,0.04617918788913705,0.5661549705711404
-5,4,13,5855,0.30046214676689886,0.014014014014014014,0.06620261670386954,0.5515172134303623
-4,0,16,4367,0.14257170771497787,0.16816816816816818,-0.06625395391333322,0.3305433046956864
-4,1,16,4687,0.2450890087843993,0.04604604604604605,0.007549573104042917,0.4817209716257411
-4,2,16,5007,0.28763167533151446,0.025025025025025027,0.04675270507248813,0.5309323889138367
-4,3,16,5327,0.3231241044454666,0.01701701701701702,0.07756029631569963,0.5633300550811124
-4,4,15,5631,0.314015368888639,0.015015015015015015,0.09187338272923606,0.5572110583188847
-3,0,17,4111,0.10178867732403463,0.24824824824824826,-0.0904100391375745,0.28520798221263843
-3,1,17,4431,0.2093842380952871,0.056056056056056056,-0.0034249987462008635,0.4201183936449683
-3,2,17,4751,0.25113326719317197,0.03203203203203203,0.03295071182194664,0.48557983517908787
-3,3,17,5071,0.2860657751706249,0.021021021021021023,0.049012324241556826,0.5075769064945572
-3,4,16,5375,0.27781086473182,0.021021021021021023,0.050777189554342794,0.5225444266969302
-2,0,18,3839,0.08917534844899791,0.35435435435435436,-0.1055389815946525,0.28465335485630017
-2,1,18,4159,0.18968499144532674,0.0920920920920921,-0.026916000656389966,0.40774296944273525
-2,2,18,4479,0.23631599427164532,0.031031031031031032,0.03566940754385284,0.45637483806386825
-2,3,18,4799,0.2727143439473582,0.01901901901901902,0.05922419223767125,0.4956486105031319
-2,4,17,5103,0.2529428579430134,0.01001001001001001,0.07395153899037796,0.4589842604688189
-1,0,20,3551,0.029068775480461908,0.7587587587587588,-0.1531217834243618,0.2099371184533228
-1,1,20,3871,0.1517187863951999,0.12412412412412413,-0.05085524106471495,0.3509020075576976
-1,2,20,4191,0.2032391726808746,0.036036036036036036,0.01796241163449211,0.3907225158667573
-1,3,20,4511,0.243537682002427,0.031031031031031032,0.015111366154645256,0.4327826590754856
-1,4,19,4815,0.21855020034324413,0.01901901901901902,0.03538236188090044,0.40050835049327405
